   1.5598302e+00   1.0321008e-01   4.9269573e-01  -1.7577795e+00   1.7936776e+00  -1.6406071e+00  -1.7585233e-01   4.9861216e-02   6.7235224e+00
   1.3115059e+00  -1.9078099e-01   1.7383618e+00  -1.6523317e-01   1.3506628e+00  -1.8150018e+00   4.4134090e-01   4.1650550e-01   8.8418182e+00
  -1.8600341e+00  -1.4903220e+00  -5.5257604e-01  -1.8543094e+00   4.7825574e-01   5.9356846e-01   2.9288793e-01   1.6748429e-01  -4.7507096e+00
  -9.1604364e-01   3.7189607e-01  -5.5506328e-02  -1.7267878e+00  -1.3462278e+00   9.5599038e-01  -9.8956601e-03   4.8364102e-01  -1.8415288e-01
  -7.7085615e-01   1.4053822e+00   1.7643039e+00  -1.4664966e+00   2.7043189e-01  -1.3641801e+00   2.6267272e-01  -5.9526972e-02  -5.3624523e+00
   1.0372746e+00   1.4044319e+00   8.7304528e-01   7.7764895e-01  -3.3616255e-01   1.2128929e+00   3.7593928e-01   4.1140175e-01   7.3472177e+00
   9.1943326e-02  -3.7210414e-01   3.2837093e-01  -2.1976689e-01   8.9077291e-01   9.0300474e-01  -2.7428147e-01   5.5128754e-01  -3.1114233e+00
   9.0982706e-01   7.0363126e-01  -2.8085053e-01  -3.2606366e-01   1.2988521e+00  -1.7478792e+00  -4.6385029e-01   4.6824665e-01   1.6279888e+00
   6.9577753e-01  -3.3157192e-01  -8.0046602e-01   1.3805473e+00  -9.4562883e-01   7.6177947e-01   1.9391359e-01  -9.4280787e-02  -3.9438413e+00
  -1.8132644e+00   4.2662605e-01  -6.7106767e-02  -6.5999240e-01  -1.4135730e+00   5.8298209e-02  -1.1424344e-01  -8.9535392e-02   5.0499799e+00
  -6.7002292e-02   1.0959218e+00  -6.2797721e-01   1.3383331e+00  -1.6960895e+00  -1.8774637e+00  -1.1966036e-01   6.8336478e-02  -2.5002251e+00
   4.1212238e-01   1.2139281e+00  -2.6987129e-01  -5.2354665e-01  -2.7582965e-01   1.1218888e+00  -4.8080079e-01  -1.8851001e-02   8.8528032e+00
  -9.0401062e-02  -9.6436111e-02   2.6008579e-01  -1.8351414e+00  -1.5780316e+00  -6.5186009e-01  -1.4345870e-01  -3.1036096e-01   7.5487601e-01
   5.1308731e-01   1.6714597e+00  -1.1545179e+00  -2.5019998e-01  -1.6600639e+00   4.1879995e-01   1.1033738e-01   4.4034407e-01   1.0072911e-01
