  0.041630   0.454492   0.834817   0.335986   0.565489   0.001767   0.187590   0.990434   0.750497   0.366274   8.396978
  0.132554   0.064166   0.950854   0.153560   0.584649   0.216588   0.806502   0.140473   0.622059   0.210893   9.845351
  0.932664   0.340327   0.891081   0.593873   0.392896   0.899323   0.694994   0.228603   0.962459   0.012054  19.742043
  0.116756   0.750923   0.296934   0.646692   0.426580   0.500941   0.314577   0.436784   0.660036   0.702546  12.244040
  0.319815   0.982327   0.679633   0.150975   0.876027   0.696759   0.377366   0.564835   0.474992   0.272491  16.404453
  0.540184   0.647780   0.569775   0.509565   0.203298   0.088576   0.280868   0.704665   0.759929   0.670620  14.024101
  0.512247   0.552193   0.658511   0.937884   0.195334   0.593232   0.081842   0.569725   0.267400   0.953097  18.706140
  0.338136   0.584941   0.945250   0.643744   0.903235   0.368426   0.242004   0.489496   0.913949   0.329182  21.450733
  0.934031   0.593341   0.986934   0.388857   0.196136   0.544511   0.961193   0.650371   0.567419   0.980514  19.432739
  0.649732   0.815114   0.657765   0.079293   0.181251   0.208749   0.112047   0.999277   0.859893   0.630505  12.679706
  0.288697   0.705141   0.349674   0.998072   0.141760   0.253816   0.906179   0.716219   0.886978   0.430523  16.990132
  0.577264   0.539081   0.980596   0.701042   0.761917   0.004534   0.241247   0.495344   0.479247   0.100126  23.194051
  0.403485   0.694523   0.222310   0.417029   0.444447   0.297170   0.721849   0.286201   0.676791   0.621591  14.706066
  0.224244   0.351946   0.938849   0.541415   0.288444   0.647412   0.119610   0.170094   0.615735   0.528146  11.928189
  0.390017   0.797101   0.351526   0.802401   0.455532   0.721218   0.278473   0.759682   0.368305   0.746230  17.647938
  0.584878   0.990010   0.062870   0.271533   0.986365   0.854204   0.403712   0.789385   0.347003   0.532489  19.440804
  0.559800   0.461545   0.909140   0.241839   0.776305   0.358752   0.255477   0.332502   0.779538   0.685266  16.273694
  0.143811   0.446734   0.033901   0.312283   0.125341   0.744330   0.942265   0.557961   0.934515   0.479553  10.436017
  0.553554   0.926312   0.431912   0.797103   0.649565   0.358096   0.953212   0.891944   0.288096   0.666740  22.446303
